word	frequency
everything	169
neither	169
vehicle	169
hostile	169
specialist	168
contain	168
admit	168
hong	168
stage	168
struggle	167
brown	167
indictment	167
farmer	167
else	167
spokeswoman	167
kill	167
anyone	167
kong	166
doctor	166
connection	166
telecommunication	166
everyone	166
type	166
donald	166
assert	166
latin	165
secret	165
seasonal	165
aerospace	165
insurer	165
guinness	164
amid	164
jersey	164
player	164
saudi	164
ready	164
spot	164
commitment	164
dec.	164
leaving	163
attractive	163
ban	163
dismiss	163
style	163
feature	163
l.	162
brand	162
supplier	162
recognize	162
concede	162
m.	162
incentive	162
f.	162
editor	162
poll	161
deep	161
investigator	161
tend	161
crisis	161
unemployment	161
address	160
modest	160
catch	160
atlantic	160
convince	159
airport	159
subcommittee	159
treat	159
irs	159
contrast	159
guy	159
abroad	159
wrong	159
intended	158
blame	158
dealing	158
n.j.	158
finish	157
season	157
chapter	156
wonder	156
voice	156
martin	156
frank	156
pentagon	155
pace	155
august	155
specialty	155
miller	155
alone	155
liberal	155
resolve	155
withdraw	155
traffic	154
load	154
testimony	154
symbol	154
pend	154
housing	153
portion	153
h.	153
quiet	153
principle	152
body	152
strategic	152
music	152
track	152
salomon	152
rebel	152
nicaraguan	151
speech	151
degree	151
pick	151
suspect	151
la	151
burnham	151
revise	150
world-wide	150
gross	150
morning	150
tire	150
race	150
rough	149
formal	149
cutting	149
pilot	149
defend	149
career	149
century	149
software	149
brief	149
deliver	148
throughout	148
cannot	148
science	148
secord	148
pact	148
sugar	148
positive	148
elaborate	148
sachs	148
lambert	148
minority	148
discover	148
pennzoil	148
p.m.	147
howard	147
insider-trading	147
businessman	147
consult	147
communist	147
bull	147
entertainment	146
cancer	146
becoming	146
edelman	146
population	146
minute	146
paris	146
ownership	146
guilty	146
realize	146
outlook	146
messrs	146
participate	146
crude	145
redeem	145
australian	145
inside	145
contribution	145
governor	145
cheap	145
king	144
barney	144
anticipate	144
criticism	144
match	144
code	144
typical	144
researcher	144
image	144
engine	144
miss	144
walk	144
normal	144
ending	143
thousand	143
radio	143
jet	143
airbus	143
boesky	143
dozen	143
weekend	143
newly	142
fda	142
disclosure	142
teacher	142
achieve	142
northern	141
leadership	141
obvious	141
